order_id,product,quantity,price,city,revenue
101,Laptop,1,65000,Bangalore,65000
102,Mouse,2,1200,Delhi,2400
103,Keyboard,1,2500,Hyderabad,2500
104,Monitor,2,15000,Mumbai,30000
105,Printer,1,12000,Chennai,12000
106,Laptop,2,65000,Delhi,130000
107,Mouse,5,1200,Bangalore,6000
108,Keyboard,3,2500,Pune,7500
109,Monitor,1,15000,Hyderabad,15000
110,Printer,2,12000,Mumbai,24000
111,Laptop,1,65000,Chennai,65000
112,Mouse,3,1200,Delhi,3600
113,Keyboard,2,2500,Bangalore,5000
114,Monitor,3,15000,Pune,45000
115,Printer,1,12000,Hyderabad,12000
116,Laptop,1,65000,Mumbai,65000
117,Mouse,4,1200,Chennai,4800
118,Keyboard,2,2500,Delhi,5000
119,Monitor,1,15000,Bangalore,15000
120,Printer,3,12000,Pune,36000
121,Laptop,2,65000,Hyderabad,130000
122,Mouse,6,1200,Mumbai,7200
123,Keyboard,1,2500,Chennai,2500
124,Monitor,2,15000,Delhi,30000
125,Printer,2,12000,Bangalore,24000
126,Laptop,1,65000,Pune,65000
127,Mouse,3,1200,Hyderabad,3600
128,Keyboard,4,2500,Mumbai,10000
129,Monitor,1,15000,Chennai,15000
130,Printer,2,12000,Delhi,24000
