product_id,name,brand,price,stock,category
E1,Laptop1,Dell,55717,8,Electronics
E2,Laptop2,Dell,78709,33,Electronics
E3,Laptop3,Dell,65138,24,Electronics
E4,Laptop4,Dell,88134,43,Electronics
E5,Laptop5,Dell,74549,6,Electronics
E6,Laptop6,Dell,44965,44,Electronics
E7,Laptop7,Dell,41055,44,Electronics
E8,Laptop8,Dell,78853,34,Electronics
E9,Laptop9,Dell,42769,33,Electronics
E10,Laptop10,Dell,84819,46,Electronics
C1,TShirt1,Puma,537,36,Clothing
C2,TShirt2,Puma,1551,31,Clothing
C3,TShirt3,Puma,1414,6,Clothing
C4,TShirt4,Puma,1589,46,Clothing
C5,TShirt5,Puma,2890,39,Clothing
C6,TShirt6,Puma,1727,38,Clothing
C7,TShirt7,Puma,833,36,Clothing
C8,TShirt8,Puma,2282,15,Clothing
C9,TShirt9,Puma,2023,5,Clothing
C10,TShirt10,Puma,1760,29,Clothing
B1,Book1,Penguin,773,24,Books
B2,Book2,Penguin,738,21,Books
B3,Book3,Penguin,1170,5,Books
B4,Book4,Penguin,867,41,Books
B5,Book5,Penguin,1280,44,Books
B6,Book6,Penguin,429,25,Books
B7,Book7,Penguin,951,23,Books
B8,Book8,Penguin,492,44,Books
B9,Book9,Penguin,1382,26,Books
B10,Book10,Penguin,1426,6,Books
C16,TShirt16,Puma,2284,44,Clothing
C17,TShirt17,Puma,1816,43,Clothing
C18,TShirt18,Puma,2496,20,Clothing
C19,TShirt19,Puma,2425,38,Clothing
C20,TShirt20,Puma,1832,15,Clothing
C21,TShirt21,Puma,1099,41,Clothing
C22,TShirt22,Puma,1556,11,Clothing
C23,TShirt23,Puma,2882,6,Clothing
C24,TShirt24,Puma,1902,28,Clothing
